DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-08-04,26.1,23.701519,3.8224187,21.123337,26.279701,17.4142,29.988838
1950-08-05,26.7,23.290081,3.7298224,20.774353,25.805809,17.15507,29.425093
1950-08-06,22.8,24.047653,3.9718406,21.368687,26.72662,17.514557,30.58075
1950-08-07,21.1,24.556778,4.079044,21.805504,27.308052,17.847347,31.266209
1950-08-08,21.7,22.851727,3.7342355,20.333023,25.37043,16.709455,28.993998
1950-08-09,18.9,21.841925,3.3511674,19.581596,24.102253,16.329744,27.354105
1950-08-10,21.1,22.412302,3.4123983,20.110674,24.71393,16.799406,28.025198
1950-08-11,23.3,20.896643,3.176755,18.753954,23.039331,15.671346,26.12194
1950-08-12,22.8,22.288969,3.4935746,19.932589,24.64535,16.54255,28.035389
1950-08-13,18.9,22.843029,3.5686402,20.436018,25.25004,16.973139,28.71292
1950-08-14,20.0,22.33312,3.5310514,19.951462,24.714779,16.525059,28.141182
1950-08-15,17.2,20.797785,3.1351745,18.683142,22.912428,15.640882,25.954689
1950-08-16,18.3,21.09833,3.2019079,18.938675,23.257984,15.831659,26.365
1950-08-17,20.0,20.202997,3.0254755,18.162346,22.243649,15.226533,25.179462
1950-08-18,22.8,19.979422,2.8962252,18.025948,21.932896,15.215555,24.743288
1950-08-19,25.0,20.727392,3.101126,18.635715,22.819069,15.626493,25.82829
1950-08-20,25.0,21.910233,3.3804538,19.630152,24.190313,16.34988,27.470585
1950-08-21,21.7,22.980955,3.5926847,20.557726,25.404184,17.071514,28.890396
1950-08-22,20.6,23.46156,3.6339738,21.01048,25.912638,17.484203,29.438915
1950-08-23,20.6,21.71278,3.4626336,19.37727,24.04829,16.017254,27.408306
1950-08-24,21.1,21.103514,3.3527293,18.842133,23.364895,15.588764,26.618263
1950-08-25,20.0,20.685068,3.1413317,18.566273,22.803864,15.518038,25.852098
1950-08-26,18.3,20.907372,3.18608,18.758392,23.05635,15.666737,26.148006
1950-08-27,20.0,20.892244,3.088157,18.809315,22.975174,15.812678,25.97181
1950-08-28,16.7,19.590754,2.9520876,17.599602,21.581905,14.735002,24.446507
1950-08-29,16.7,20.280293,3.1025794,18.187634,22.372952,15.177004,25.383581
1950-08-30,21.1,18.36086,2.8094769,16.465897,20.255825,13.739683,22.982038
1950-08-31,18.9,18.17247,2.6797836,16.364983,19.979958,13.764618,22.580322
1950-09-01,17.8,20.3117,3.05319,18.252356,22.371046,15.28965,25.333752
1950-09-02,21.7,19.837252,2.8971467,17.883156,21.791348,15.071869,24.602634
1950-09-03,19.4,19.407326,2.8026202,17.516987,21.297665,14.797426,24.017225
1950-09-04,16.7,20.838894,3.1195068,18.734818,22.94297,15.707762,25.970026
1950-09-05,18.3,19.462872,3.045409,17.408775,21.516968,14.453619,24.472124
1950-09-06,17.2,18.786774,2.6872442,16.974255,20.599293,14.366651,23.206898
1950-09-07,21.1,18.96027,2.801263,17.070847,20.849693,14.352602,23.567938
1950-09-08,18.3,18.603762,2.814476,16.705427,20.502096,13.97436,23.233162
1950-09-09,18.3,19.321104,2.8630688,17.389994,21.252214,14.611774,24.030434
1950-09-10,17.2,18.617525,2.810863,16.721626,20.513424,13.994067,23.240982
1950-09-11,18.9,18.660154,2.796688,16.773817,20.546492,14.060012,23.260296
1950-09-12,18.9,18.188593,2.7312567,16.346388,20.030798,13.696075,22.68111
1950-09-13,15.0,18.534424,2.7119553,16.705238,20.36361,14.073654,22.995193
1950-09-14,17.2,18.620853,2.7684364,16.75357,20.488136,14.067181,23.174526
1950-09-15,17.2,17.170078,2.476241,15.499879,18.840277,13.097024,21.243134
1950-09-16,17.2,17.649199,2.678053,15.842879,19.455517,13.244194,22.054203
1950-09-17,16.7,17.83904,2.6625986,16.043146,19.634935,13.4594555,22.218626
1950-09-18,15.0,17.80257,2.6733692,15.999411,19.60573,13.40527,22.199871
1950-09-19,15.0,17.849283,2.752669,15.992636,19.70593,13.321546,22.377022
1950-09-20,15.6,16.510944,2.5651362,14.7807865,18.241102,12.291671,20.730217
1950-09-21,14.4,16.277956,2.4641883,14.615887,17.940025,12.224728,20.331184
1950-09-22,15.0,16.360832,2.5313847,14.6534395,18.068226,12.197075,20.52459
1950-09-23,16.1,15.747154,2.4251726,14.111401,17.382908,11.7581005,19.736208
1950-09-24,12.8,16.148464,2.4967935,14.464402,17.832525,12.041605,20.255323
1950-09-25,15.6,16.073261,2.4452872,14.423941,17.722582,12.051122,20.095402
1950-09-26,19.4,14.730598,2.2259653,13.229208,16.231989,11.069212,18.391985
1950-09-27,15.6,16.121841,2.4752662,14.4523,17.791384,12.05039,20.193293
1950-09-28,15.6,18.039673,2.9925928,16.0212,20.058146,13.117296,22.96205
1950-09-29,15.6,15.893645,2.5561857,14.169524,17.617767,11.689095,20.098196
1950-10-01,15.6,15.764824,2.4679768,14.100199,17.42945,11.705363,19.824284
1950-10-02,17.2,16.13522,2.5062144,14.444803,17.825636,12.012863,20.257576
1950-10-03,20.6,15.940634,2.6290324,14.167378,17.71389,11.616261,20.265007
1950-10-04,17.8,16.42199,2.7190197,14.588038,18.25594,11.9496,20.894379
1950-10-05,15.6,18.175665,3.0805645,16.097857,20.253473,13.108587,23.242743
1950-10-06,15.6,16.840706,2.7747958,14.969134,18.712276,12.276573,21.404839
1950-10-07,11.7,16.211327,2.7446108,14.360115,18.062538,11.696844,20.72581
1950-10-08,13.9,15.928086,2.647062,14.14267,17.713503,11.574057,20.282116
1950-10-09,14.4,13.792591,2.2533047,12.27276,15.312422,10.086235,17.498947
1950-10-10,17.2,14.542339,2.5197537,12.842792,16.241888,10.397713,18.686966
1950-10-11,17.2,15.117734,2.6504078,13.330061,16.905407,10.758202,19.477266
1950-10-12,15.0,16.457932,2.908647,14.4960785,18.419785,11.673634,21.24223
1950-10-13,14.4,15.88547,2.7878642,14.005085,17.765856,11.299842,20.4711
1950-10-14,17.8,14.628488,2.5867178,12.883773,16.373201,10.373715,18.883259
1950-10-15,13.9,14.392588,2.4980104,12.7077055,16.07747,10.283726,18.50145
1950-10-16,17.8,16.004187,2.9784837,13.99523,18.013144,11.105017,20.903357
1950-10-17,17.2,14.157498,2.6977024,12.337926,15.977071,9.720173,18.594824
1950-10-18,13.3,15.697753,2.8361073,13.784828,17.610678,11.032772,20.362734
1950-10-19,12.8,15.441388,2.780219,13.566159,17.316618,10.868335,20.014442
1950-10-20,11.7,13.96344,2.4587302,12.305052,15.621828,9.9191885,18.00769
1950-10-21,11.1,13.700437,2.4956527,12.017144,15.383729,9.595453,17.80542
1950-10-22,13.3,13.118065,2.3756065,11.515742,14.720387,9.21054,17.025589
1950-10-23,12.2,12.558455,2.4787421,10.886569,14.230342,8.481287,16.635624
1950-10-24,11.1,13.221874,2.5167239,11.52437,14.919378,9.0822315,17.361517
1950-10-25,6.1,12.806607,2.5381753,11.094634,14.51858,8.6316805,16.981533
1950-10-26,7.2,11.809124,2.5824885,10.067262,13.550986,7.5613084,16.05694
1950-10-27,8.3,8.874026,2.7460694,7.0218306,10.726222,4.3571444,13.390908
1950-10-28,9.4,8.887052,2.7465346,7.034542,10.739561,4.3694043,13.404699
1950-10-29,8.9,9.563186,3.0157833,7.529071,11.597301,4.6026635,14.523708
1950-10-30,8.3,9.799806,2.771433,7.9305024,11.669109,5.241204,14.358408
1950-10-31,9.4,9.481475,2.6792438,7.6743526,11.288597,5.074511,13.888439
1950-11-01,9.4,9.342319,2.470359,7.6760864,11.008551,5.2789397,13.405697
1950-11-02,9.4,9.814351,2.4804187,8.141335,11.487368,5.7344255,13.894277
1950-11-03,8.9,10.683209,2.243775,9.1698065,12.196612,6.992528,14.373891
1950-11-04,8.3,10.464687,2.4320726,8.82428,12.105095,6.464284,14.465091
1950-11-05,9.4,10.095129,2.4456022,8.445596,11.744662,6.0724716,14.117786
1950-11-06,12.2,9.213758,2.6748056,7.4096293,11.017887,4.814095,13.613422
1950-11-07,13.3,9.826101,2.6253276,8.055345,11.596858,5.5078216,14.144381
1950-11-08,15.0,11.385638,2.9430459,9.400584,13.370692,6.544759,16.226517
1950-11-09,10.6,11.675673,3.0503495,9.618243,13.733102,6.658294,16.69305
1950-11-12,7.8,12.6364355,2.881906,10.692619,14.580252,7.896122,17.376749
1950-11-13,7.8,10.878207,2.807897,8.984309,12.772105,6.259628,15.496786
1950-11-14,7.8,9.490667,2.7393212,7.6430235,11.338311,4.9848847,13.99645
1950-11-15,9.4,8.963995,2.6923707,7.148019,10.779971,4.5354395,13.39255
1950-11-16,11.1,8.549168,2.530601,6.8423033,10.256032,4.3866997,12.711636
1950-11-17,8.3,9.744227,2.493441,8.062427,11.426028,5.642882,13.845573
1950-11-18,10.0,10.456554,2.5969062,8.7049675,12.208141,6.185024,14.728085
1950-11-19,6.7,8.484651,2.465782,6.821506,10.147795,4.4288006,12.540501
1950-11-20,8.9,9.618564,2.453409,7.9637647,11.273363,5.583065,13.654062
1950-11-21,7.2,8.773929,2.531438,7.0664997,10.481358,4.6100836,12.937774
1950-11-22,7.2,9.667615,2.989233,7.651408,11.683822,4.7507644,14.584465
1950-11-23,7.2,8.811414,3.0964177,6.722912,10.899916,3.7182598,13.904568
1950-11-24,2.8,8.883511,2.939228,6.9010315,10.86599,4.0489106,13.718111
